,ACCESSNO,CATEGORYNO,SITE,SITENO,PROVENANCE
3_0519,3,519,Nevin Shell Heap.,Me.152/1,"Provenience Description - Pebbles near stake IC.3/3E Section number - 3E Trench Number - IC.3 Locality: Bluehill Falls, ME Situation: At same level as 269."
3_0520,3,520,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.2 Excav Date - 00/00/36 Locality: Bluehill Falls, ME"
3_0521,3,521,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.2 Excav Date - 00/00/36 Locality: Bluehill Falls, ME (Case E297)"
3_0522,3,522,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.2 Excav Date - 00/00/36 Locality: Bluehill Falls, ME"
3_0523,3,523,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.2 Locality: Bluehill Falls, ME Situation: In humus."
3_0524,3,524,Nevin Shell Heap.,Me.152/1,"Provenience Description - Lying next to 417 Section number - 3E Trench Number - IC.2 Excav Date - 00/00/36 Locality: Bluehill Falls, ME"
3_0525,3,525,Nevin Shell Heap.,Me.152/1,"Provenience Description - Lying next to 524 Section number - 3E Trench Number - IC.2 Excav Date - 00/00/36 Locality: Bluehill Falls, ME (Case E297)"
3_0526,3,526,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.2 Excav Date - 00/00/36 Locality: Bluehill Falls, Me. Situation: Trench IC.2, Section 3E. In black humus and pebbles."
3_0527,3,527,Nevin Shell Heap.,Me.152/1,"Provenience Description - From pit below shells Section number - 3E Trench Number - IC.2 Locality: Bluehill Falls, Me. Situation: Trench IC.2, Section 3E. In shell above plow line."
3_0528,3,528,Nevin Shell Heap.,Me.152/1,"Provenience Description - In shells below plowline Section number - 3E Trench Number - IC.2 Locality: Bluehill Falls, Me."
3_0530,3,530,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.3 Excav Date - 00/00/36 Locality: Bluehill Falls, Me. Situation: Trench IC.3, Section 3E. Just below sod."
3_0533,3,533,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.2 Level Overflow: 29cm from top of heap, black earth and pebbles under burned earth and below shells. Excav Date - 00/00/36 Locality: Bluehill Falls, Me."
3_0534,3,534,Nevin Shell Heap.,Me.152/1,"Provenience Description - Among stones near IC.2/Section 3E in pit. Section number - 3E Trench Number - IC.2 Locality: Bluehill Falls, Me. Situation: Among stones near IC.2, Section 3E in pit."
3_0535,3,535,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.2 Excav Date - 00/00/36 Locality: Bluehill Falls, Me. Situation: East end of Trench IC.2, Section 3E. Black soil and shell."
3_0537,3,537,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.2 Excav Date - 00/00/36 Locality: Bluehill Falls, Me. Situation: Stake IC.2, 3E. In shell below plow line."
3_0538,3,538,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.2 Locality: Bluehill Falls, Me. Situation: In shells, Trench ID.2, Section 4E & 3E."
3_0539,3,539,Nevin Shell Heap.,Me.152/1,"Provenience Description - Section 4E & 3E. Found in box of pottery. Section number - 4E Trench Number - ID.2 Locality: Bluehill Falls, Me. Situation: In shells Trench ID.2, Section 4E & 3E. Remarks: Found in box of pottery."
3_0540,3,540,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.4 Locality: Bluehill Falls, Me. Situation: Trench IC.4, Section 3E. In shells."
3_0541,3,541,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - IC.3 Locality: Bluehill Falls, Me. Situation: In shell."
3_0542,3,542,Nevin Shell Heap.,Me.152/1,"Section number - 3E Trench Number - ID.1 Locality: Bluehill Falls, Me. Situation: In ash among shells."
3_0544,3,544,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.2 Excav Date - 00/00/36 Locality: Bluehill Falls, Me. Situation: In shell. Trench ID.2, Section 4E."
3_0545,3,545,Nevin Shell Heap.,Me.152/1,"Provenience Description - Top of shells & down into shells. Trench ID.1 & ID.2 Section number - 4E Trench Number - ID.1 Locality: Bluehill Falls, Me."
3_0546,3,546,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID Excav Date - 00/00/36 Locality: Bluehill Falls, Me. Situation: In shells. Trench ID, Section 4E."
3_0547,3,547,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.1 Excav Date - 00/00/36 Locality: Bluehill Falls, Me. Situation: In shells among rocks."
3_0548,3,548,Nevin Shell Heap.,Me.152/1,"Provenience Description - In bottom of shells - near stake ID.1/4E Section number - 4E Trench Number - ID.1 Locality: Bluehill Falls, Me. Situation: In bottom of shells - near stake ID1/4E."
3_0549,3,549,Nevin Shell Heap.,Me.152/1,"Provenience Description - Nert stake ID.1/4E Section number - 4E Trench Number - ID.1 Locality: Bluehill Falls, Me. Situation: In shells near stake ID1/4E."
3_0550,3,550,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.1 Locality: Bluehill Falls, Me. Situation: In shells."
3_0551,3,551,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.4 Locality: Bluehill Falls, Me. Situation: Upper level of shells."
3_0552,3,552,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.4 Locality: Bluehill Falls, Me. Situation: In shell"
3_0553,3,553,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.4 Excav Date - 00/00/36 Locality: Bluehill Falls, Me. Situation: In shells above area of burned shells."
3_0554,3,554,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.4 Locality: Bluehill Falls, Me. Situation: In shells."
3_0555,3,555,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.1 Excav Date - 00/00/36 Locality: Bluehill Falls, Me. Situation: Below shell in rocks."
3_0556,3,556,Nevin Shell Heap.,Me.152/1,Provenience Description - Below shell in black soil among rocks. Section number - 4E Trench Number - ID.1
3_0557,3,557,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.1 Excav Date - 00/00/36 Locality: Bluehill Falls, Me. Situation: Below shell among rocks in black soil."
3_0558,3,558,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.1 Locality: Bluehill Falls, Me. Situation: In bottom of shell."
